ParamName True_Value Sim_Value InputType ResponseTime Interp_ResponseTime
d2 0.010000 0.077267 StepDown 960.000000 958.266185
d2 0.010000 0.069693 StepDown 955.000000 958.266185
d2 0.010000 0.055747 StepDown 960.000000 957.265907
d2 0.010000 0.016692 StepDown 970.000000 970.269519
d2 0.010000 0.032806 StepDown 960.000000 960.266741
d2 0.010000 0.021455 StepDown 965.000000 964.267852
d2 0.010000 0.047233 StepDown 955.000000 958.266185
d2 0.010000 0.002301 StepDown 1145.000000 1145.318144
d2 0.010000 0.026849 StepDown 960.000000 962.267296
d2 0.010000 0.033168 StepDown 960.000000 960.266741
d2 0.010000 0.096731 StepDown 955.000000 957.265907
d2 0.010000 0.095993 StepDown 955.000000 957.265907
d2 0.010000 0.026783 StepDown 960.000000 962.267296
d2 0.010000 0.021288 StepDown 965.000000 965.268130
d2 0.010000 0.020340 StepDown 970.000000 966.268408
d2 0.010000 0.069233 StepDown 955.000000 957.265907
d2 0.010000 0.036121 StepDown 960.000000 960.266741
d2 0.010000 0.092531 StepDown 955.000000 957.265907
d2 0.010000 0.082280 StepDown 960.000000 958.266185
d2 0.010000 0.040883 StepDown 960.000000 959.266463
d2 0.010000 0.066725 StepDown 955.000000 958.266185
d2 0.010000 0.060584 StepDown 955.000000 958.266185
d2 0.010000 0.050241 StepDown 960.000000 958.266185
d2 0.010000 0.075376 StepDown 960.000000 958.266185
d2 0.010000 0.086027 StepDown 960.000000 957.265907
d2 0.010000 0.018696 StepDown 965.000000 967.268686
d2 0.010000 0.072722 StepDown 960.000000 957.265907
d2 0.010000 0.032215 StepDown 960.000000 960.266741
d2 0.010000 0.056611 StepDown 960.000000 958.266185
d2 0.010000 0.025601 StepDown 965.000000 962.267296
d2 0.010000 0.054651 StepDown 960.000000 958.266185
d2 0.010000 0.042624 StepDown 960.000000 959.266463
d2 0.010000 0.070758 StepDown 960.000000 958.266185
d2 0.010000 0.026063 StepDown 965.000000 962.267296
d2 0.010000 0.032891 StepDown 960.000000 960.266741
d2 0.010000 0.066976 StepDown 955.000000 957.265907
d2 0.010000 0.092066 StepDown 955.000000 957.265907
d2 0.010000 0.034079 StepDown 960.000000 960.266741
d2 0.010000 0.071787 StepDown 960.000000 957.265907
Kf 0.002000 0.004268 StepDown 975.000000 979.272020
Kf 0.002000 0.012040 StepDown 965.000000 965.268130
Kf 0.002000 0.018872 StepDown 960.000000 962.267296
Kf 0.002000 0.011652 StepDown 965.000000 966.268408
Kf 0.002000 0.015542 StepDown 960.000000 964.267852
Kf 0.002000 0.002471 StepDown 985.000000 985.273687
Kf 0.002000 0.006026 StepDown 975.000000 974.270631
Kf 0.002000 0.010676 StepDown 965.000000 967.268686
Kf 0.002000 0.010879 StepDown 965.000000 966.268408
Kf 0.002000 0.005532 StepDown 975.000000 975.270909
Kf 0.002000 0.015987 StepDown 960.000000 963.267574
Kf 0.002000 0.002215 StepDown 985.000000 986.273965
Kf 0.002000 0.017712 StepDown 965.000000 962.267296
Kf 0.002000 0.014755 StepDown 965.000000 964.267852
Kf 0.002000 0.014030 StepDown 965.000000 964.267852
Kf 0.002000 0.006362 StepDown 970.000000 973.270353
Kf 0.002000 0.013002 StepDown 965.000000 965.268130
Kf 0.002000 0.008322 StepDown 970.000000 970.269519
Kf 0.002000 0.016855 StepDown 965.000000 963.267574
Kf 0.002000 0.004123 StepDown 980.000000 979.272020
Kf 0.002000 0.016953 StepDown 965.000000 962.267296
Kf 0.002000 0.007757 StepDown 970.000000 971.269797
Kf 0.002000 0.007646 StepDown 970.000000 971.269797
Kf 0.002000 0.003377 StepDown 985.000000 981.272576
Kf 0.002000 0.002765 StepDown 980.000000 984.273409
Kf 0.002000 0.003540 StepDown 980.000000 980.272298
Kf 0.002000 0.018859 StepDown 960.000000 962.267296
Kf 0.002000 0.005270 StepDown 975.000000 975.270909
Kf 0.002000 0.018906 StepDown 960.000000 962.267296
Kf 0.002000 0.016844 StepDown 965.000000 963.267574
Kf 0.002000 0.016280 StepDown 960.000000 962.267296
Kf 0.002000 0.008263 StepDown 970.000000 970.269519
Kf 0.002000 0.016824 StepDown 965.000000 963.267574
Kf 0.002000 0.010312 StepDown 970.000000 968.268964
Kf 0.002000 0.000502 StepDown 1000.000000 996.276744
Kf 0.002000 0.006911 StepDown 975.000000 972.270075
Kf 0.002000 0.010128 StepDown 970.000000 967.268686
Kf 0.002000 0.008028 StepDown 970.000000 970.269519
Kf 0.002000 0.007947 StepDown 970.000000 970.269519
Kf 0.002000 0.013620 StepDown 965.000000 964.267852
Kf 0.002000 0.007357 StepDown 975.000000 971.269797
Kf 0.002000 0.019384 StepDown 960.000000 962.267296
Kf 0.002000 0.013525 StepDown 965.000000 964.267852
Kf 0.002000 0.005837 StepDown 975.000000 975.270909
Kf 0.002000 0.015319 StepDown 960.000000 963.267574
Kf 0.002000 0.018660 StepDown 960.000000 962.267296
Kf 0.002000 0.011554 StepDown 965.000000 967.268686
Kf 0.002000 0.019063 StepDown 960.000000 961.267019
Kf 0.002000 0.012243 StepDown 965.000000 966.268408
Kf 0.002000 0.018958 StepDown 960.000000 962.267296
Kf 0.002000 0.000372 StepDown 995.000000 996.276744
Kf 0.002000 0.018901 StepDown 960.000000 962.267296
Kf 0.002000 0.016694 StepDown 965.000000 963.267574
Kf 0.002000 0.016611 StepDown 965.000000 963.267574
Kf 0.002000 0.008289 StepDown 970.000000 970.269519
Kf 0.002000 0.018094 StepDown 965.000000 962.267296
Kf 0.002000 0.017047 StepDown 965.000000 962.267296
Kf 0.002000 0.014063 StepDown 965.000000 964.267852
Kf 0.002000 0.003678 StepDown 980.000000 980.272298
Kf 0.002000 0.005519 StepDown 975.000000 975.270909
Kf 0.002000 0.010491 StepDown 970.000000 967.268686
Kf 0.002000 0.003156 StepDown 985.000000 982.272854
